title,dataset_email
FRAP 2002 North Coast Vegetation,""
Census 2000 Block Group Data (cen00bg03),Shawn.Saving@fire.ca.gov
Butte County Commercial Footprints,blasagna@bcag.org
Incorporated Places,Frapdatacontact@fire.ca.gov
Los Angeles County CRSMP Beach Attendance 2008-2010,jmoore@nobleconsultants.com
Teale Depatment of Toxic Substance Control Regions 1997,metadata@gis.resources.ca.gov
Assessment of WARMF Model Data from San Joaquin Watershed (East Side),mscavone@water.ca.gov
GNIS Dataset: Rapids,eric.kauffman@resources.ca.gov
FWS Areas Approved for Acquisition (2009),Doug_Vandegraft@fws.gov
Army Corps Reconn Study,Monica.Eichler@usace.army.mil
Bay Delta Conservation Plan Website,info@BayDeltaConservationPlan.com
Central Valley Project: Canals,theinzer@mp.usbr.gov
Sacramento River Maps,mulder@water.ca.gov
Tiger - Major Roads,tiger@census.gov
Census 2000 Block,Shawn.Saving@fire.ca.gov
California State Park Boundaries 2011/2012,cody.hustead@parks.ca.gov
GNIS Dataset: Pillar,eric.kauffman@resources.ca.gov
Sacramento River Maps 1923,mulder@water.ca.gov
2008 TIGER/Line Nationwide Dataset,metadata@gis.resources.ca.gov
Suisun Marsh Primary Management Area,javierd@bcdc.ca.gov
Supplemental CPAD Data ,""
State Offshore Oil and Gas Leases,eric.gillies@slc.ca.gov
California Recreational Fisheries Survey - CRFS,Connie.Ryan@wildlife.ca.gov
Palos Verde Kelp Canopy,Rebecca.FloresMiller@wildlife.ca.gov
Halibut Trawl Grounds,MR_GIS@wildlife.ca.gov
Watershed with  Dams,metadata@gis.resources.ca.gov
Teale Department of Transportation (Caltrans) Districts,metadata@gis.resources.ca.gov
Santa Cruz County Cadastral GIS Layers,ISD400@co.santa-cruz.ca.us
Ecosystem Diagnosis and Treatment 3.0 (EDT3),""
California Base Map Cache,qjhart@ucdavis.edu
Fire History,""
Health Professional Shortage Area (HPSA) - Dental,moneill@oshpd.ca.gov
GNIS Dataset: Forest,eric.kauffman@resources.ca.gov
Santa Cruz County Service Area GIS Layers,ISD400@co.santa-cruz.ca.us
Plumas National Forest Integrated Inventory Plots,kbwillett@ucdavis.edu
Kelp Canopy Map Data - 2003 - California Coast,mr_gis@wildlife.ca.gov
GNIS Dataset: Dam,eric.kauffman@resources.ca.gov
nrpimapper,""
Kelp Canopy Map Data - 2009 - California Coast,MR_GIS@wildlife.ca.gov
Topographically Occurring Mine Symbols (TOMS),metadata@gis.resources.ca.gov
DBW California Beach Restoration Study,sterrett@dbw.ca.gov
SAWPA Mapping and Data Tools for the Santa Ana Watershed,pvitt@sawpa.org
COOP Dashboard,moneill@oshpd.ca.gov
Vernal Pools,neroth@ucdavis.edu
1986 Fresno County Land Use,""
DFW California Natural Diversity Database (CNDDB),""
Teale Major Roads,metadata@gis.resources.ca.gov
Central Valley Flood Protection Board Maps,cvfpbquestions@water.ca.gov
Cool California Funding Wizard,coolcalifornia@arb.ca.gov
MarineBIOS Map Viewer,bios@dfg.ca.gov
FMMP Important Farmland Data Availability,Patrick.L.Hennessy@conservation.ca.gov
California Tahoe Conservancy Home page,Janet.Brewster@tahoe.ca.gov
4km-monthly,""
California Coastal Conservancy - Coast & Ocean Online Archive,dwayman@scc.ca.gov
GNIS Dataset: National File,eric.kauffman@resources.ca.gov
DFW Vegetation Classification and Mapping Program (VegCAMP),""
Kelp Canopy Map Data - 2002 - California Coast,mr_gis@wildlife.ca.gov
State of the State's Wetlands (2010),brian@resources.ca.gov
DOQQ False Colour Infrared,geodata@dfg.ca.gov
Driveways (E-911),gis@mono.ca.gov
DWR Flood Districts,jdudas@water.ca.gov
CPAD 1.7 CA Protected Areas DB,cpad@calands.org
City Limits,ccmap@doit.cccounty.us
1990 Housing Density in the Sierra Nevada by Census Block,kbwillett@ucdavis.edu
GNIS Dataset: Populated Place,eric.kauffman@resources.ca.gov
GNIS Dataset: Park,eric.kauffman@resources.ca.gov
GNIS Dataset: Valley,eric.kauffman@resources.ca.gov
Delta Vision: Points of Diversion ,jdudas@water.ca.gov
Delta Vision: Suisun Border,sarah_lewis@urscorp.com
State Waters Jurisdiction - California,MR_GIS@wildlife.ca.gov
Santa Cruz County Biotic ,ISD400@co.santa-cruz.ca.us
Santa Cruz County Biotic Geodatabase,ISD400@co.santa-cruz.ca.us
National Elevation Dataset,eric.kauffman@gio.ca.gov
Teale Census Tract 1990,metadata@gis.resources.ca.gov
California Coastal Topo-Bathy Data Merge,stoews@scc.ca.gov
1947 Sacramento River Aerial Photographs,rirwin@water.ca.gov
GNIS Dataset: Civil,eric.kauffman@resources.ca.gov
GNIS Dataset: Range,eric.kauffman@resources.ca.gov
Fire Hazard Zones,eric.kauffman@gio.ca.gov
Arundo Distribution Data,""
Another Item,""
GNIS Dataset: Glacier,eric.kauffman@resources.ca.gov
GNIS Populated Places,""
FWS Areas Administered (2009),Doug_Vandegraft@fws.gov
Teale Hydrographic Point,metadata@gis.resources.ca.gov
California Interagency Watershed Map,chris.keithley@fire.ca.gov
Medical Service Study Area,Michael.ONeill@oshpd.ca.gov
 NAIP 2012 California Tile Index Service,qjhart@ucdavis.edu
FMMP FTP Site,Patrick.L.Hennessy@conservation.ca.gov
GNIS Dataset: Bridges,eric.kauffman@resources.ca.gov
Energy Commission Homepage,jmatthew@energy.ca.gov
California Energy Commission,jmatthew@energy.ca.gov
Energy Quest,jmatthew@energy.ca.gov
Santa Cruz County Utilities GIS Layers ,ISD400@co.santa-cruz.ca.us
"CDFW Map Services (NAIP and other Aerial Imagery, Topo Maps, etc.)",geodata@wildlife.ca.gov
"Multibeam Bathymetry and Backscatter Data: Northeastern Channel Islands Region, Southern California",pdartnell@usgs.gov
Teale: Board of Equalization 1992,metadata@gis.resources.ca.gov
Kelp Canopy Aerial Surveys,Rebecca.FloresMiller@wildlife.ca.gov
Areas along the San Joaquin Valley's edges where natural lands and wildlife-compatible farmlands should be maintained,gis@esrp.org
Bakersfield_parks,admgis@ci.bakersfield.ca.us
Bridges Located on the California State Highway System,neroth@ucdavis.edu
Connectivity and Linkages Between Isolated Habitat, gis@esrp.org
Density of Threatened and Endangered Species,neroth@ucdavis.edu
Historical Lakes,gis@esrp.org
Soil Survey Geographic (SSURGO) - Magnesic Soils,David.Smith@ca.usda.gov
California tiger salamander Final Critical Habitat,cheryl_hickam@fws.gov
Under Protected Habitats,neroth@ucdavis.edu
Williamson Act - The California Land Conservation Act of 1965,james.nordstrom@conservation.ca.gov
State Parks - Park Planner's Toolbox,planning@parks.ca.gov
State Parks - California Historical Resources,joseph.mcdole@parks.ca.gov
Kelp Canopy Map Data - 2005 - California Coast,MR_GIS@wildlife.ca.gov
GNIS Dataset: Crossing,eric.kauffman@resources.ca.gov
DWR Photo Library,""
Delta Vision: Railroads,answers@bts.gov
Liquefaction Zone of Required Investigation,creal@consrv.ca.gov
Hazards Data Distribution System (HDDS),bkjones@usgs.gov
Attachment A: Preliminary Cost Estimates,rdagit@rcdsmm.org
Sonoma Ecology Center Website,info@sonomaecologycenter.org
Parcel Points,ccmap@doit.cccounty.us
Santa Cruz County Administrative GIS Layers,ISD400@co.santa-cruz.ca.us
A Contribution to Your Workgroup,""
Building Footprints (E-911),gis@mono.ca.gov
Marine Protected Areas - Channel Islands Federal Extension,MR_GIS@wildlife.ca.gov
Units (E-911),gis@mono.ca.gov 
FRAP 2002 San Joaquin Vegetation,""
Restoration Plans,michael.byrne@resources.ca.gov
Teale: CA. Counties 1990,metadata@gis.resources.ca.gov
Teale Ground Water Basins 1997,metadata@gis.resources.ca.gov
Teale Precipitation,metadata@gis.resources.ca.gov
Public Conservation Trust Land (2007),""
Registered Nursing Shortage Areas,moneill@oshpd.ca.gov
The Center for Ecological Health Research,""
DFW Data Portal,""
Bailey Land Capability (1974),trpa@sierra.net
Mines Online and DOGGR Oil and Gas Online Mapping System,kit.lai@conservation.ca.gov
DWR California Data Exchange Center (CDEC),joseph.mcdole@parks.ca.gov
Delta Vision: Conservation Lands,frapwebmaster@fire.ca.gov
Santa Cruz County Cultural Spatial Data,ISD400@co.santa-cruz.ca.us
Santa Cruz County Facilities GIS Layers,ISD400@co.santa-cruz.ca.us
AAA New XML Test,theinzer@usbr.gov
Water Quality Sampling Sites - Sacramento Watershed Coordinated Monitoring Program,jlance@water.ca.gov
Soil Survey Geographic (SSURGO) - Kinds and Distribution of Soils,Wendy_Schreiber@fire.ca.gov
City Sphere of Influence,ccmap@doit.cccounty.us
DOGGR Online Mapping System (DOMS),kit.lai@conservation.ca.gov
Geothermal Fields,liz.johnson@conservation.ca.gov
California Hot Springs,liz.johnson@conservation.ca.gov
Another Thing,rakunkel@gmail.com
School Points,ccmap@doit.cccounty.us
California's 2002 Clean Water Act Section 303(d) - Impaired Streams and Rivers,michael.byrne@resources.ca.gov
Fire Perimeters,Dave.Sapsis@fire.ca.gov
Fire Threat,Dave.Sapsis@fire.ca.gov
Public and Conservation Trust Lands,frapwebmaster@fire.ca.gov
Teale Urban and rural areas of California,metadata@gis.resources.ca.gov
Teale Railroads and miscellaneous transportation,metadata@gis.resources.ca.gov
California County Boundaries,""
EF Test Files,""
Sequoia National Forest Developed Recreation Sites -   Existing and Proposed,kbwillett@ucdavis.edu
Supervisorial Districts,ccmap@doit.cccounty.us
Medical Service Study Areas Detail,Michael.ONeill@oshpd.ca.gov
Landslide Zone of Required Investigation,creal@consrv.ca.gov
DWR Delta Levees GIS System,jdudas@water.ca.gov
Teale Airboard Districts 1990,metadata@gis.resources.ca.gov
Teale California Ambient Air Quality Standards for carbon monoxide 1997,metadata@gis.resources.ca.gov
Hydrologic Features,""
Medically Underserved Areas and Populations (MUA/MUP),moneill@oshpd.ca.gov
"2004 Land Cover, Sonoma Creek Watershed",info@sonomaecologycenter.org
Jones II,help@ceres.ca.gov
GNIS Dataset: Levee,eric.kauffman@resources.ca.gov
Delta Vision: Agriculture,Mark.Rosenberg@fire.ca.gov 
GNIS Dataset: Tower,eric.kauffman@resources.ca.gov
Teale Hydrology,""
Federal Water Districts,lpeltzlewis@mp.usbr.gov
SWRCB Coastal Water Quality Monitoring Stations,info@waterboards.ca.gov
GNIS Dataset: Mine,eric.kauffman@resources.ca.gov
Henry Coe State Park Imagery,gis@ambag.org
Primary Care Shortage Areas,Michael.ONeill@oshpd.ca.gov
Assessor Database,gis@mono.ca.gov
Access Energy,jmatthew@energy.ca.gov
California Power Plants Map,jgilbre@energy.state.ca.us
California Coast,michael.byrne@resources.ca.gov
Teale Places,metadata@gis.resources.ca.gov
Teale State Assembly Districts 1995,metadata@gis.resources.ca.gov
California Oil and Gas Districts,jennie.catalano@conservation.ca.gov
Urban Area Imagery: Delta,""
Natural Lands Targeted for Protection as Specialty Preserves,gis@esrp.org
Delta Vision: Suisun Subsidence No Delta Overlap,sarah_lewis@urscorp.com
Delta Vision: Deep Water Ship Channels,sarah_lewis@urscorp.com
Teale Department of Fish and Game Regions 1997,metadata@gis.resources.ca.gov
California Condor Critical Habitat, kirk_waln@fws.gov
"Annual reservoir water levels at Suttonfield Lake and Fern Lake, Sonoma Developmental Center, Eldridge, California",gis@sonomaecologycenter.org
srml,""
Calfornia General Plans Rural,metadata@gis.resources.ca.gov
Land Trust Offices 2002,metadata@gis.resources.ca.gov
CPAD 1.5 CA Protected Areas DB,cpad@calands.org
Southern California Coastal Water Research Project (SCCWRP) Data ,shellym@sccwrp.org
BaseMap,qjhart@ucdavis.edu
Santa Cruz County Hydrography Spatial Data,ISD400@co.santa-cruz.ca.us
GNIS Dataset: Isthmus,eric.kauffman@resources.ca.gov
AMBAG Region City Boundaries,gis@ambag.org
Kelp Canopy Map Data - 2008 - California Coast,MR_GIS@wildlife.ca.gov
Sonoma Ecology Center Sonoma Valley Knowledge Base,gis@sonomaecologycenter.org
Third file,""
DBW Boating Safety Reports,arigby@dbw.ca.gov
DFW New BIOS Map Viewer,ssummers@dfg.ca.gov
GNIS Dataset: Trail,eric.kauffman@resources.ca.gov
"ESRI Geospatial Technology for Coastal Environments, March 2011",""
Zoning - Unincorporated Area,ccmap@doit.cccounty.us
California NAIP Product Documentation,roger.kunkel@resources.ca.gov
Designated Places,""
Teale Vegetation,metadata@gis.resources.ca.gov
1:500K Base Map,""
Salinas Drainage System,gis@ambag.org
CERES API Usage Guide,""
Delta Vision: Legal Delta and Suisun Boundary,sarah_lewis@urscorp.com
GNIS Dataset: Bar,eric.kauffman@resources.ca.gov
CA_Wells,jennie.catalano@conservation.ca.gov
GNIS Dataset: Census,eric.kauffman@resources.ca.gov
GNIS Dataset: Canal,eric.kauffman@resources.ca.gov
GNIS Dataset: Lake,eric.kauffman@resources.ca.gov
NAIP,""
GNIS Dataset: Lava,eric.kauffman@resources.ca.gov
GNIS Dataset: Oilfield ,eric.kauffman@resources.ca.gov
Delta Vision: Delta Marsh Watersheds,sarah_lewis@urscorp.com
General Plan,ccmap@doit.cccounty.us
GNIS Dataset: Cape,eric.kauffman@resources.ca.gov
GNIS Dataset: Reservoir,eric.kauffman@resources.ca.gov
Product One,""
Water Conservation ,""
OEHHA Files,metadata@gis.resources.ca.gov
National Highway Planning Network,mark.sarmiento@dot.gov
DFW Document Library,""
Administrative Boundaries,jennie.catalano@conservation.ca.gov
"Natural Diversity Database, Sp",metadata@gis.resources.ca.gov
FMMP 2000 Mosaic,metadata@gis.resources.ca.gov
Parcel Polygons,ccmap@doit.cccounty.us
GNIS Dataset: Area,eric.kauffman@resources.ca.gov
GNIS Dataset: Airports,eric.kauffman@resources.ca.gov
nhmp,""
Santa Cruz County Emergency Management GIS Layers,ISD400@co.santa-cruz.ca.us
Santa Cruz County Land Use GIS Layers,ISD400@co.santa-cruz.ca.us
Water Bodies,ccmap@doit.cccounty.us
Creeks and Drainages,ccmap@doit.cccounty.us
Please Delete This Workgroup,""
Kelp Canopy Map Data - 2004 - California Coast,mr_gis@wildlife.ca.gov
Kelp Canopy Map Data - 2011 - California Coast,MR_GIS@wildlife.ca.gov
Santa Cruz County Timber Resources,ISD400@co.santa-cruz.ca.us
Proposition 1E and 84 Bond Projects,""
GeoMAC Fire Perimeters for California 2007 - 2009,""
geopicker,""
ACCESS Nor. and Centr. California Pelagic Ecosystem Status Report,jjahncke@prbo.org
LIDAR flights of the Sacramento-San Joaquin Delta,jdudas@water.ca.gov
Santa Cruz County Land Use Shapefiles and Geodatabase,ISD400@co.santa-cruz.ca.us
Santa Cruz County Biotic Reports,ISD400@co.santa-cruz.ca.us
Mono County Dams,gis@mono.ca.gov
Biogeographic Data Branch,bdb@dfg.ca.gov
Geothermal Wells,liz.johnson@conservation.ca.gov
Areas of Conservation Emphasis (ACE_II)  Map Viewer,""
County Boundary,ccmap@doit.cccounty.us
prism,""
Marine Life Refuges,MR_GIS@wildlife.ca.gov
GNIS Dataset: Cemetery,eric.kauffman@resources.ca.gov
Cal Adapt,metadata@ceres.ca.gov
Riparian Habitat - Product of 2 riparian habitat workshops,michael.byrne@resources.ca.gov
Mojave Vegetation,""
Ca Biodiversity Council Bioregions (INACC Regions),""
Beach Erosion Concern Area Lines,Clif.Davenport@conservation.ca.gov
BCDC Bay Trail Alignment 2009,javierd@bcdc.ca.gov
NOAA Average Annual Salinity (3-Zone),Tony.Reyer@NOAA.gov
Suisun Marsh Secondary Management Area,javierd@bcdc.ca.gov
"General Plans Rural, Residential ",michael.byrne@resources.ca.gov
Sonoma Ecology Center Northern California Arundo Distribution Data,gis@sonomaecologycenter.org
GNIS Dataset: Church,eric.kauffman@resources.ca.gov
GNIS Dataset: Hospital,eric.kauffman@resources.ca.gov
Delta Vision: Local Flood District Delta Marsh Active,sarah_lewis@urscorp.com
Santa Cruz County Transportation GIS Layers ,ISD400@co.santa-cruz.ca.us
GNIS Dataset: Building,eric.kauffman@resources.ca.gov
GNIS Dataset: Falls,eric.kauffman@resources.ca.gov
GNIS Dataset: Gap,eric.kauffman@resources.ca.gov
GNIS Dataset: Harbor,eric.kauffman@resources.ca.gov
Delta Vision: Planning and Zoning,sarah_lewis@urscorp.com
Marine Protected Areas - California State,MR_GIS@wildlife.ca.gov
Board Of Education Trustees,isd400@co.santa-cruz.ca.us
Santa Cruz County Grasslands,ISD400@co.santa-cruz.ca.us
Santa Cruz County Hazards GIS Layers ,ISD400@co.santa-cruz.ca.us
GNIS Dataset: Sea,eric.kauffman@resources.ca.gov
GNIS Dataset: Swamp,eric.kauffman@resources.ca.gov
Delta Vision: Protected Lands,frapwebmaster@fire.ca.gov
Delta Vision: Traffic Flows,sarah_lewis@urscorp.com
Teale Geographic Names,metadata@gis.resources.ca.gov
Teale Redwoods 1997,metadata@gis.resources.ca.gov
Kuchler Vegetation of California 1976,dhansen@mp.usbr.gov
LiDAR data for the Delta Area of California,jdudas@water.ca.gov
Teale National Ambient Air Quality Standards fo Ozone,metadata@gis.resources.ca.gov
Teale California shoreline,metadata@gis.resources.ca.gov
Teale California Office of Emergency Services 1996,metadata@gis.resources.ca.gov
California Natural Diversity Data Base,bdb@wildlife.ca.gov
2010 Kern County One Foot Color Aerial Imagery,mheimer@kerncog.org
BCDC Major Permits,javierd@bcdc.ca.gov
BCDC Minor Permits,javierd@bcdc.ca.gov
NAIP 2005 California Imagery for Download,roger.kunkel@resources.ca.gov
GNIS Dataset: Beach,eric.kauffman@resources.ca.gov
GNIS Dataset: Channel,eric.kauffman@resources.ca.gov
Santa Cruz County GeoPhysical Spatial Data,ISD400@co.santa-cruz.ca.us
Santa Cruz County Map Grids ,ISD400@co.santa-cruz.ca.us
Kelp Canopy Map Data - 2006 - California Coast,MR_GIS@wildlife.ca.gov
Teale Weather Stations,metadata@gis.resources.ca.gov
Teale Hardwoods 1997,metadata@gis.resources.ca.gov
Teale Hydrologic Basins,metadata@gis.resources.ca.gov
Health Professional Shortage Area (HPSA) - Primary Care,moneill@oshpd.ca.gov
GNIS Dataset: Tunnel,eric.kauffman@resources.ca.gov
CPAD 1.6 CA Protected Areas DB,cpad@calands.org
California Bioregions,michael.byrne@resources.ca.gov
Timbered Lands of 1945,metadata@gis.resources.ca.gov
CPAD 1.8 CA Protected Lands DB,cpad@calands.org
FRAP 2002 Sacramento Vegetation,""
California Licensed Healthcare Facilities,moneill@oshpd.ca.gov
GNIS Dataset: Basin,eric.kauffman@resources.ca.gov
GNIS Dataset: Gut,eric.kauffman@resources.ca.gov
Delta Vision: Boat Launches,sarah_lewis@urscorp.com
Delta Vision: Delta and Suisun Primary Zone,sarah_lewis@urscorp.com
"Delta Vision: Gas, Oil Production Fields ",sarah_lewis@urscorp.com
Delta Vision: Mokelumne Aqueduct Pipe,jdudas@water.ca.gov
Delta Vision: Urban Area FMMP 2004,fmmp@conservation.ca.gov
California Department of Fish and Wildlife (CDFW) Owned and Operated Lands,Lisa.Ohara@wildlife.ca.gov
GNIS Dataset: Bend,eric.kauffman@resources.ca.gov
GNIS Dataset: Flat,eric.kauffman@resources.ca.gov
Wieslander Vegetation,cbjohnson@mp.usbr.gov
"Federal Area Designations for Ozone, PM10, SO2, CO, NO2",""
Teale Senate District Boundaries 1992,metadata@gis.resources.ca.gov
GNIS Dataset: Ridge,eric.kauffman@resources.ca.gov
Tiger - Rail Roads,tiger@census.gov
GNIS Dataset: Unknown,eric.kauffman@resources.ca.gov
Delta Vision: Land Use,hawkins@water.ca.gov
Delta Vision: Legal Delta,jdudas@water.ca.gov
California Ocean,michael.byrne@resources.ca.gov
Sierra Vegetation,""
Dams within the jurisdiction of the State of California,michael.byrne@resources.ca.gov
Contour Lines,ccmap@doit.cccounty.us
GNIS Dataset: Military,eric.kauffman@resources.ca.gov
GNIS Dataset: Crater,eric.kauffman@resources.ca.gov
Santa Cruz County Zayante Soils,ISD400@co.santa-cruz.ca.us
Southern California Coastal Water Research Project Geoportal,""
USGS Quads,metadata@gis.resources.ca.gov
Los Angeles County CRSMP Offshore Sediment Deposits 2012,Clif.Davenport@conservation.ca.gov
FWS Delta Smelt Critical Habitat,cheryl_hickam@fws.gov
DFW Automated License Data System (ALDS),""
Bus Stops,gis@mono.ca.gov
GNIS Dataset: Stream,eric.kauffman@resources.ca.gov
GNIS Dataset: Arroyo,eric.kauffman@resources.ca.gov
GNIS Dataset: Spring,eric.kauffman@resources.ca.gov
California's 2002 Clean Water Act Section 303(d) - Impaired Waterbodies,michael.byrne@resources.ca.gov
California Central Valley Wetlands and Riparian GIS,geodata@wildlife.ca.gov
Delta Vision: Managed Lands,sarah_lewis@urscorp.com
DWR California Irrigation Management Information System (CIMIS),DWRCIMISPublicContact@water.ca.gov
USBR Water Districts 2012,theinzer@usbr.gov
California Red-Legged Frog Vacated Final Critical Habitat,cheryl_hickam@fws.gov
DWR Water Plan Information Exchange (Water PIE),cwpcom@water.ca.gov
Santa Cruz County Riparian Woodlands,ISD400@co.santa-cruz.ca.us
Paper on Sustainability Science,mimi
DFW California Wildlife Habitat Relationships (CWHR),""
a xml test,theinzer@usbr.gov
GNIS Dataset: Slope,eric.kauffman@resources.ca.gov
USDA Ecoregions,metadata@gis.resources.ca.gov
Teale California Ambient Air Quality Standards for Ozone,metadata@gis.resources.ca.gov
Health Professional Shortage Area (HPSA) - Mental Health,moneill@oshpd.ca.gov
Marin County City Polygon,lafco@marin.org
Delta Vision: Delta Subsidence,sarah_lewis@urscorp.com
State Coastal Conservancy and Ocean Protection Council Project Viewer,pjarausch@scc.ca.gov
Public Land Survey filled,metadata@gis.resources.ca.gov
DFG Fishing Guide,ssummers@dfg.ca.gov
Geopicker supplement,""
Santa Cruz County Board of Education Trustees ,ISD400@co.santa-cruz.ca.us
GNIS Dataset: Plain,eric.kauffman@resources.ca.gov
GNIS Dataset: Locale,eric.kauffman@resources.ca.gov
Access Points (E-911),gis@mono.ca.gov
GNIS Dataset: Post Office,eric.kauffman@resources.ca.gov
OPC Coastal Conservancy LiDAR Project 2009-2011 ,keil.schmid@noaa.gov
U.S. Coast Survey Maps of California,kristen@sfei.org
Teale Congressional districts 1992,metadata@gis.resources.ca.gov
SNC Searchable Grants Database,grants@sierranevada.ca.gov
Delta Vision: Population Growth by County,sarah_lewis@urscorp.com
Aquaculture Lease Parcels,MR_GIS@wildlife.ca.gov
Santa Cruz County Agricultural Resource Area,ISD400@co.santa-cruz.ca.us
Areas of Late Successional Emphasis (ALSEs) Polygon Id List,kbwillett@ucdavis.edu
