id,keep,otech,private,title
995,t,f,t,Bolsa Chica Boundary Settlement  and Exchange Agreement Between The Signal Companies and The State of California
996,t,f,t,"Bolsa Chica-Bringing People and Nature Together
"
997,t,f,t,Bolsa Chica Development Agreement
998,t,f,t,Bolsa Chica LCP Implementing Actions Program - Planned Community Program-Wetlands Restoration Program
999,t,f,t,Bolsa Chica LCP Option B with Tidal Inlet from Revised EIR 551 Alternative G
1000,t,f,t,Bolsa Chica Local Coastal Program
1001,t,f,t,Bolsa Chica Local Coastal Program  Part One: Land Use Plan (LUP)
1002,t,f,t,Bolsa Chica Project Elements
1003,t,f,t,Bolsa Chica Restoration Alternatives
1004,t,f,t,"Bolsa Chica Tidal inlet
"
1005,t,f,t,Bolsa Chica Wetlands Restoration/Conservation Plan
1006,f,f,t,City Staff Reports
1007,t,f,t,County Suggested Modifications to the Bolsa Chica LCP Land Use Plan Amendment 1-95 and Related Implementing Action
1008,t,f,t,Draft Coastal Element
1009,t,f,t,Draft Environmental Impact Report 551
1010,t,f,t,Draft Environmental Impact Report 551-Appendices Vol I
1011,t,f,t,Draft Environmental Impact Report 551-Appendices Vol II
1012,t,f,t,Draft Environmental Impact Report 81-250
1013,t,f,t,Draft Environmental Impact Report 81-250 - Technical Appendices
1014,t,f,t,Draft Environmental Impact Report On Bolsa Chica Rezoning and Annexation 76-3
1015,t,f,t,Draft Environmental Impact Report/Statement
1016,t,f,t,Draft Report: Background Issues and Considerations in Planning for the Long Range Uses of the Bolsa Chica Area
1017,t,f,t,"Economic Impact Analysis of The Proposed Bolsa Chica Project
"
1018,t,f,t,"Findings and Recommendations for the Maintenance, Restoration, and Enhancement of Wetlands and Non-Wetland Environmentally Sensitive Habitat Areas at Bolsa Chica, Orange County"
1019,t,f,t,"Identification and Delineation of 'Waters of the United States' Under Clean Water Act Section 404, Bolsa Chica, Orange County, California"
1020,t,f,t,Local Coastal Program-Bolsa Chica North Coast Planning Unit
1021,t,f,t,"Management Plan for the Proposed Bolsa Bay, California New Ocean Entrance System Study"
1022,t,f,t,Phase I Bolsa Chica Public Facilities Management and Financing Plan Update
1023,t,f,t,"Phase II Environmental Assessment for Bolsa Chica Lowlands and Pocket Area, Huntington Beach, California"
1024,t,f,t,Preliminary Alternative Plans for Bolsa Chica
1025,t,f,t,Preliminary Numerical Tidal Results for the Bolsa Chica Study
1026,t,f,t,Preliminary Wetlands Determination for the Bolsa Chica Local Coastal Plan
1027,t,f,t,Raptor inventory and Habitat for the Bolsa Chica Area
1028,t,f,t,Report: Background Issues and Considerations in Planning for The Long Range Uses of The Bolsa Chica Area
1029,t,f,t,"Reports On Solid Waste Disposal Site, Bolsa Chica (Mud Dump)"
1030,t,f,t,Report to the City of Huntington Beach #1
1031,t,f,t,Report to the City of Huntington Beach #2
1032,t,f,t,Responses To Comments for East Garden Grove-Wintersburg-Oceanview Channel System EIR 560
1033,t,f,t,Response to Bolsa Chica Local Coastal Program 2000
1035,t,f,t,"Revised Findings for the Court Remanded Bolsa Chica Local Coastal Program (Lcp), Land Use Amendment No. 1-95. Implementing Actions Program"
1036,t,f,t,Saving The Bolsa Chica Wetlands
1037,t,f,t,Special Report-Bolsa Chica Area
1038,t,f,t,"Stability Analysis of Proposed Ocean Entrance Channels, Bolsa Chica, California"
1039,t,f,t,Staff Report on Land Use Plan Amendment 1-95 and Related Implementing Action
1040,t,f,t,"Sunset Harbor Navigation and Salt Marsh Study, Bolsa Chica, Orange County, California"
1041,t,f,t,"The Bolsa Chica Wetlands of Huntington Beach:  The Changing Environment, Land Use Patterns, and Cultural Values of Its inhabitants From 500 A. D. To The Present"
1042,t,f,t,The Environment of the Bolsa Chica Wetlands
1043,t,f,t,The 'Wetlands' Issue
1044,t,f,t,Title History of Bolsa Chica Wetlands
1045,t,f,t,"Western Snowy Plover Nesting at Bolsa Chica, Orange County, California 1998"
1062,f,f,t,CENIC Nodes under 1000 Meters frmo Primary Care Clinics
1063,f,f,t,Connecting Healthcare Facilities via Broadband
1064,f,f,t,California General Acute Care Hospitals
1065,f,f,t,California Hospitals and Clinics
1066,f,f,t,landmarks_new
1067,f,f,t,Linear Miles of Transportation Rights-of-Way by Census Tract
1068,f,f,t,California Primary Care Clinics
1069,f,f,t,California Primary Care Clinics and State Highways
1070,f,f,t,Public Buildings by Census Tract
1071,f,f,t,State Owned Land by Census Tract
1072,f,f,t,University of California Healthcare Facilities and Teaching Hospitals
1200,f,f,t,10-year Accident data for the Bishop Area
1201,f,f,t,10-year Accident data for the Independence Area
1202,f,f,t,California City 2000 General Plan - Kern County
1242,t,f,f,BBiomarkers of Exposure and Deleterious Effect: A Laboratory and Field Investigation
1243,t,f,f,Biomarkers of Ozone Damage to Sierra Nevada Vegetation
1244,t,f,f,Bird and Mammal Reproduction in a Terrestrial Aquatic Interface
1245,t,f,f,Chemistry of Bioavailability in Sediments and Water Column
1246,t,f,f,Cumulative and Integrative Biochemical Indicators
1247,t,f,f,Development of Pollutant Fate and Transport Models for Use in Terrestrial Ecosystem Exposure Assessment
1248,t,f,f,Effect of Photochemical Reactions in Fog Drops and Aerosol Particles on the Fate of Atmospheric Chemicals in the Central Valley
1249,t,f,f,Endocrine Disruption in Fish and Birds
1250,t,f,f,Fish Developmental Toxicity/Recruitment
1251,t,f,f,Identification and distribution of pest complexes in relation to late seral/old growth forest structure in the Lake Tahoe watershed
1252,t,f,f,Immunoassays and Serum Markers
1253,t,f,f,Mercury and Iron Biogeochemistry
1254,t,f,f,Microbiology of Mercury Methylation in Sediments
1255,t,f,f,Modeling Ecosystems Under Combined Stress
1256,t,f,f,Modeling Transport in Aquatic Systems
1257,t,f,f,"Molecular, Cellular and Animal Biomarkers of Exposure and Effect"
1258,t,f,f,Pesticide Transport in Subsurface and Surface Water Systems
1259,t,f,f,Pre-contact Forest Structure
1260,t,f,f,Regional Hydrogeology and Contaminant Transport in a Sierra Nevada Ecosystem
1261,t,f,f,Regional Hydrologic Modeling With Emphasis on Watershed-Scale Environmental Stresses
1262,t,f,f,Regional Movement of Toxics
1263,t,f,f,Regional Transport of Air Pollutants and Exposure of Sierra Nevada Forests to Ozone
1264,t,f,f,Resolving Multiple Stressors by Biochemical Indicator Patterns and their Linkages to Adverse Effects on Benthic Invertebrate Patterns
1265,t,f,f,Role of Hydrogeologic Processes in Alpine Ecosystem Health
1266,t,f,f,Source Load Modeling for Sediment in Mountainous Watersheds
1267,t,f,f,Spatial and Temporal Trends in Water Quality
1268,t,f,f,Spatial Patterns and Biodiversity
1269,t,f,f,Stress of Increased Sediment Loading on Lake and Stream Function
1270,t,f,f,Subalpine Marsh Plant Communities as Early Indicators of Ecosystem Stress
1271,t,f,f,The History of Anthropogenic Effects
1272,t,f,f,The Role of Fishes as Transporters of Mercury
1273,t,f,f,Time Series Analysis and Modeling Ecological Risk
1274,t,f,f,Water Motions and Material Transport
1275,t,f,f,Wetlands Restoration
1276,t,f,f,Wildlife Bioaccumulation and Effects
1277,t,f,f,WWW/Outreach
1340,f,f,t,AdministrativeAreas
1341,f,f,t,Aerial Photo Tile Index
1342,f,f,t,CenterLine
1343,f,f,t,CIRGIS_Imagery_2007_revised_1foot_tilesUTM10_area
1344,f,f,t,CIRGIS_Imagery_2007_revised_1foot_tilesUTM11_area
1345,f,f,t,CIRGIS_Imagery_2007_revised_6inch_tilesUTM10_area
1346,f,f,t,CIRGIS_Imagery_2007_revised_6inch_tilesUTM11_area
1347,f,f,t,CIRGIS areas of Interest
1348,t,f,t,CriticalFacilities
1349,t,f,t,Definition of Channel Islands Region
1350,t,f,t,Parcels
1351,f,f,t,RailRoad
1352,f,f,t,SiteAddress
1353,f,f,t,Zoning
1428,t,f,t,"Aerial Photographs of Elkhorn Slough & Vicinity, 1994"
1428,t,f,t,"Aerial Photographs of Elkhorn Slough & Vicinity, 1994"
1429,t,f,t,Bay Protection and Toxic Cleanup Program (BPTCP) Sampling Data - Central Coast
1430,t,f,t,Coastal Development Permits - Elkhorn Slough Area
1431,t,f,t,"Coastal Zone Boundary - Central Coast, 1:24k"
1432,t,f,t,"Coastal Zone Boundary - Central Coast, 1:500k"
1433,t,f,t,County Boundaries -- All of California
1434,t,f,t,County Boundaries -- Central Coast
1435,t,f,t,"Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) Sites - Central Coast"
1436,t,f,t,"Contours - Central Coast, from USGS 7.5-minute DEMs (30m grid)"
1437,t,f,t,Dam Locations - Central Coast
1438,t,f,t,Digital Orthophoto Quads (DOQs) - Northern Monterey County
1439,t,f,t,Digital Orthophoto Quads (DOQs) - Northern Santa Cruz County
1440,t,f,t,Elkhorn Slough Habitats
1441,t,f,t,"Fish Consumption Advisories, 1994 - Central Coast"
1442,t,f,t,Groundwater Basins - Central Coast
1443,t,f,t,Hardwoods - Central Coast
1444,f,f,t,"Highways, Major State and Interstate"
1445,t,f,t,Industrial Facilities Discharge Sites - Central Coast
1446,t,f,t,Land Cover 1990/93 - Central Coast
1447,t,f,t,Land Cover 1990 by UCSB Gap Analysis Project - Central Western California bioregion
1448,t,f,t,"Land Use, 1989-91 - North Monterey County and Salinas Valley"
1449,t,f,t,Land Use/Land Cover - 1:100k USGS LULC - Central Coast
1450,t,f,t,Land Use/Land Cover - 1:250k USGS LULC - Central Coast
1451,t,f,t,Mines - Central Coast
1452,t,f,t,Mussel Watch Sampling Data - Central Coast
1453,t,f,t,National Sediment Inventory - Central Coast
1454,t,f,t,National Wetlands Inventory - Central Coast Quads
1455,t,f,t,NPDES Permit Data from Monterey Bay National Marine Sanctuary - Central Coast
1456,t,f,t,NPDES Permit Data from Region 9 Permit Compliance System (PCS) - Central Coast
1457,t,f,t,NPDES Permit Data from US EPA BASINS v.1.0 CD - Central Coast
1458,t,f,t,Parcels - North Monterey County & Salinas Valley
1459,t,f,t,Pesticide Use - Central Coast
1460,t,f,t,Place Names - Central Coast
1461,t,f,t,"Precipitation, Average Annual -- California"
1462,t,f,t,"Precipitation, Average Annual -- Central Coast"
1463,t,f,t,Precipitation - Central Coast
1464,t,f,t,Public Water Supply Sites - Central Coast
1465,t,f,t,"Quad Boundaries 1:100,000 - California"
1466,t,f,t,"Quad Boundaries 1:24,000 - California"
1467,t,f,t,"Quad Boundaries 1:24,000 - WATER project area"
1468,t,f,t,"Quad Boundaries 1:250,000 - California"
1469,t,f,t,Resource Conservation and Recovery Act (RCRA) Sites - Central Coast
1470,t,f,t,Satellite Image - Central Coast
1471,t,f,t,"Shaded Relief Image - Central Coast, from 100m DEM"
1472,t,f,t,"Shaded Relief Images - Central Coast, from USGS 7.5-minute DEMs (30m grid)"
1473,t,f,t,Shoreline of the Central Coast
1474,t,f,t,"Slopes - Central Coast, from USGS 7.5-minute DEMs (30m grid)"
1475,t,f,t,"Soils (SSURGO, 1:24,000 scale) - Monterey County"
1476,t,f,t,"Soils (SSURGO, 1:24,000 scale) - Santa Cruz County"
1477,t,f,t,Stream Flow - Central Coast USGS Stream Guage Stations and Flow Data 1901-1993
1478,t,f,t,Stream Guage Stations - Central Coast
1479,t,f,t,Streams - Reach File Version 1 - Central Coast
1480,t,f,t,Streams & Shorelines - 1:100k USGS DLG - Central Coast
1481,t,f,t,Superfund National Priority List Sites - Central Coast
1482,t,f,t,"Toxic Release Inventory Sites, 1992 - Central Coast"
1483,t,f,t,"US Census TIGER files, 1994 - Central Coast"
1484,t,f,t,Vegetation - CalVeg - Central Coast
1485,t,f,t,Water Quality Sampling Data - Elkhorn Slough NERR
1486,t,f,t,Water Quality Sampling Data (STORET) - Central Coast
1487,t,f,t,Watersheds (Hydrologic Basins) - CalWater - Central Coast
1488,t,f,t,Weather Station Sites - Central Coast
1489,t,f,f,Coastal Conservancy Publication List
1490,,f,f,California Coastal Conservancy Homepage
1491,t,f,f,Project Location Maps
1744,t,f,f,Colusa Basin Watershed Assessment
1745,t,f,f,Colusa Basin Watershed Streambank Analysis
1758,t,f,t,Dealer
1759,t,f,t,Processor
1760,t,f,t,Recycling Center
1761,t,f,t,Residential Curbside Recycling Programs
1762,t,f,t,Rural Region
1763,t,f,t,Supermarket
1822,t,f,f,Alameda County Important Farmland
1823,t,f,f,Amador County Important Farmland
1824,t,f,f,Butte County Important Farmland
1825,t,f,f,Colusa County Important Farmland
1826,t,f,f,Contra Costa County Important Farmland
1827,t,f,f,El Dorado County Important Farmland
1828,t,f,f,Fresno County Important Farmland
1829,t,f,f,Glenn County Important Farmland
1830,t,f,f,Imperial County Important Farmland
1831,t,f,f,Kern County Important Farmland
1832,t,f,f,Kings County Important Farmland
1833,t,f,f,Lake County Important Farmland
1834,t,f,f,Los Angeles County Important Farmland
1835,t,f,f,Madera County Important Farmland
1836,t,f,f,Marin County Important Farmland
1837,t,f,f,Mariposa County Important Farmland
1838,t,f,f,Mendocino County Important Farmland
1839,t,f,f,Merced County Important Farmland
1840,t,f,f,Modoc County Important Farmland
1841,t,f,f,Monterey County Important Farmland
1842,t,f,f,Napa County Important Farmland
1843,t,f,f,Nevada County Important Farmland
1844,t,f,f,Orange County Important Farmland
1845,t,f,f,Placer County Important Farmland
1846,t,f,f,Riverside County Important Farmland
1847,t,f,f,Sacramento County Important Farmland
1848,t,f,f,San Benito County Important Farmland
1849,t,f,f,San Bernardino County Important Farmland
1850,t,f,f,San Diego County Important Farmland
1851,t,f,f,San Joaquin County Important Farmland
1852,t,f,f,San Luis Obispo County Important Farmland
1853,t,f,f,San Mateo County Important Farmland
1854,t,f,f,Santa Barbara County Important Farmland
1855,t,f,f,Santa Clara County Important Farmland
1856,t,f,f,Santa Cruz County Important Farmland
1857,t,f,f,Shasta County Important Farmland
1858,t,f,f,Sierra Valley Important Farmland
1859,t,f,f,Siskiyou County Important Farmland
1860,t,f,f,Solano County Important Farmland
1861,t,f,f,Sonoma County Important Farmland
1862,t,f,f,Stanislaus County Important Farmland
1863,t,f,f,Sutter County Important Farmland
1864,t,f,f,Tehama County Important Farmland
1865,t,f,f,Tulare County Important Farmland
1866,t,f,f,Ventura County Important Farmland
1867,t,f,f,Yolo County Important Farmland
1868,t,f,f,Yuba County Important Farmland
1869,t,f,f,Geothermal Fields
1870,t,f,f,Geothermal Power Plants
1871,t,f,f,Geothermal Wells
1872,t,f,f,California Hot Springs
1873,t,f,f,Central Valley IFSAR Digital Elevation Models and Imagery
1874,t,f,f,MapInfo TAB Files for the USGS DOQQ set
1880,t,f,f,California Williamson Act
1881,f,f,t,Parcel Points
1887,t,f,t,City Limits
1887,t,f,t,City Limits
1889,f,f,t,County Boundary
1890,f,f,t,Contour Lines
1896,f,f,t,General Plan
1901,f,f,t,Parcel Polygons
1904,f,f,t,School Points
1907,f,f,t,City Sphere of Influence
1908,t,f,t,Creeks and Drainages
1910,f,f,t,Supervisorial Districts
1912,f,f,t,Urban Limit Line
1913,t,f,t,Water Bodies
1915,f,f,t,Zoning - Unincorporated Area
1918,t,f,f,Air Districts: Federal
1919,t,f,f,Air Districts: State
1920,t,f,f,California Ambient Air Quality Standards for Carbon Monoxide
1921,t,f,f,California Ambient Air Quality Standards for Ozone
1922,t,f,f,Bibliography
1923,t,f,f,California Biodiversity Council Conservation Planning Regions
1924,t,f,f,California Board of Equalization Districts
1924,f,t,f,California Board of Equalization Districts
1925,t,f,f,California's Hardwood Resources
1926,t,f,f,Cosumnes River Preserve Species List
1927,t,f,f,Cosumnes River Watershed Definition
1928,t,f,f,Dams within the Jurisdiction of the State of California
1929,t,f,f,Federal Hydrologic Unit Codes in California and Vicinity
1930,t,f,f,California Gap Analysis Data Dictionary Calveg Layer
1931,t,f,f,Government Ownership
1932,t,f,f,Hardwoods
1933,t,f,f,Interagency Natural Areas Coordinating Committee Bioregions
1934,t,f,f,Major Places
1935,t,f,f,Major Roads
1936,t,f,f,Potential Vertebrate Species Distribution for California
1937,t,f,f,California Precipitation
1938,t,f,f,California Significant Natural Areas
1939,t,f,f,California State Assembly Districts 1990
1940,t,f,f,California Department  of Toxic Substance Control Regions
1941,t,f,f,United States Senate Districts
1942,t,f,f,Urban Areas
1943,t,f,f,City of Arvin general plan land use
1944,f,f,t,City/County Limits
1945,t,f,t,Parcels
1946,f,f,t,Street Centerlines
1947,f,f,t,"Water, Sewer, Storm"
1948,f,f,t,Zoning
1964,t,f,f,"bdcs_option1.jpg,bdcs_option1.jpg"
1965,t,f,f,"bdcs_option2.jpg,bdcs_option2.jpg"
1966,t,f,f,Delta_Suisun_Resource_Matrix-4-23-08_dh1.xls
1967,t,f,f,"Descriptive title: BDCP Hydrologic Zones for the Delta and Habitat Restoration Areas - Sequence of maps,File name: 3.03.08_HO#2_Hydro_from_Hab_Resortation_WG.pdf"
1981,f,f,t,Cooling Centers
1982,f,f,t,Licensing and Certification District Offices
1983,f,f,t,Licensing and Certification: Districts
1984,f,f,t,Local Health Officers
1985,t,f,f,Historical lakes of the San Joaquin Valley
1986,t,f,f,Natural Vegetation of Central California based on Kuchler (1977)
1987,t,f,f,Proposed areas where connectivity and linkages should be promoted
1988,t,f,f,Proposed Specialty Preserve Areas
1989,t,f,f,Recommended contiguous band of natural lands and wildlife-compatible farmlands
1990,t,f,f,Recovery Plan Geographic Place Names
1991,t,f,f,San Joaquin Valley Multispecies Recovery Plan study area
1992,t,f,f,Access Energy
1993,t,f,f,California Electric Transmission System Map
1994,t,f,f,California Energy Commission
1995,t,f,f,Energy Commission Homepage
1996,t,f,f,Energy Quest
1997,t,f,f,Media and Public Communications Office Access Energy and Internet
1998,t,f,f,California Power Plants Map
2031,t,f,t,"1997 Biological Surveys of Four Southern California Artificial Reefs:  Oceanside #2, Carlsbad, Pacific Beach, and Mission Bay Park"
2032,t,f,t,"A Combined Telephone and Creel Survey of the Red Abalone, Haliotis rufescens (Swainson), Sport Fishery in California from Monterey to the Oregon Border, April through November 1988"
2033,t,f,t,"A Combined Telephone and Creel Survey of the Red Abalone, Haliotis rufescens (Swainson), Sport Fishery in California from Monterey to the Oregon Border, April through November 1989"
2034,t,f,t,"Age Composition of California Barracuda, Sphyraena argentea; Pacific Bonito, Sarda chiliensis; White Seabass, Cynoscion nobilis; and Yellowtail, Seriola dorsalis from Southern California Partyboats, 1972-74"
2035,t,f,t,An Evaluation of the California Barracuda Resource and Its Management
2036,t,f,t,An Informational Summary on Elasmobranchs in Elkhorn Slough
2037,t,f,t,A Profile of the Monterey Squid Fleet in 1992
2038,t,f,t,"A Re-survey of the Marine Environment from Point Loma, San Diego County"
2039,t,f,t,A Status Report on the Jack Mackerel Tagging Program
2040,t,f,t,"A Summary of the Dungeness Crab Research Program, 1974-1980"
2041,t,f,t,A Survey of the Marine Environment Near the City of Carmel Ocean Outfall
2042,t,f,t,A Survey of the Marine Environment Near the City of Goleta Ocean Outfall
2043,t,f,t,A Survey of the Marine Environment Near the City of Monterey Ocean Outfall
2044,t,f,t,A Survey of the Marine Environment Near the City of Santa Cruz Ocean Outfall
2045,t,f,t,A Survey of the Marine Environment Near the City of Seaside Ocean Outfall
2046,t,f,t,A Survey of the Marine Environment Near the City of Watsonville Ocean Outfall
2047,t,f,t,"A Survey of the Marine Environment Near the Wedron Silica Discharge off Asilomar, Monterey County"
2048,t,f,t,A Survey of the Marine Environment Near Two Brine Discharges at Huntington Beach
2049,t,f,t,"Biological Characteristics of the Catch from the 1980-81 and 1981-82 Pacific Herring, Clupea harengus pallasi, Roe Fishery in California"
2050,t,f,t,"Biological Characteristics of the Catch from the 1982-83 Pacific Herring, Clupea harengus pallasi, Roe Fishery in California"
2051,t,f,t,"Biological Characteristics of the Catch from the 1984-85 Pacific Herring, Clupea harengus pallasi, Roe Fishery in California"
2052,t,f,t,"Biological Characteristics of the catch from the 1985-86 Pacific Herring, Clupea harengus pallasi, Roe Fishery in California"
2053,t,f,t,"Biological Characteristics of the Catch from the 1986-87 Pacific Herring, Clupea harengus pallasi, Roe Fishery in California"
2054,t,f,t,"Biological Characteristics of the Catch from the 1990-91 Pacific Herring, Clupea pallasi, Roe Fishery in California"
2055,t,f,t,"Biological Characteristics of the Catch from the 1991-92 Pacific Herring, Clupea pallasi, Roe Fishery in San Francisco Bay and Tomales Bay"
2056,t,f,t,"Biological Characteristics of the Gill Net Catch from the 1987-88 Pacific Herring, Clupea harengus pallasi, Roe Fishery in California"
2057,t,f,t,"Biological Characteristics of the Gill Net Catch from the 1988-89 Pacific Herring, Clupea harengus pallasi, Roe Fishery in California"
2058,t,f,t,"Biological Characteristics of the Gill Net Catch from the 1989-90 Pacific Herring, Clupea pallasi, Roe Fishery in California"
2059,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1980-81 Spawning-Ground Surveys"
2060,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1981-82 Spawning Ground Surveys"
2061,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1982-83 Spawning-Ground Surveys"
2062,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1983-84 Spawning-Ground Surveys"
2063,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1984-85 Spawning-Ground Surveys"
2064,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1985-86 Spawning-Ground Surveys"
2065,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1986-87 Spawning-Ground Surveys"
2066,t,f,t,"Biomass estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1987-88 Spawning-Ground Surveys"
2067,t,f,t,"Biomass Estimates of Pacific Herring, Clupea harengus pallasi, in California from the 1988-89 Spawning-Ground Surveys"
2068,t,f,t,"Biomass Estimates of Pacific Herring, Clupea pallasi, in California from the 1989-90 Spawning-Ground Surveys"
2069,t,f,t,"Biomass Estimates of Pacific Herring, Clupea pallasi, in California from the 1990-91 Spawning-Ground Surveys"
2070,t,f,t,Dungeness Crab Research Program
2071,t,f,t,"Biomass Estimates of Pacific Herring, Clupea pallasi, in California from the 1991-92 Spawning-Ground Surveys"
2072,t,f,t,"Bull Kelp, Nereocystis luetkeana, Abundance in Van Damme Bay, Mendocino County, California"
2073,t,f,t,"Characteristics of Red Sea Urchin, Strongylocentrotus franciscanus, Populations in the Vicinity of Fort Bragg, California:  Northern California Sea Urchin Investigations, Progress Report, Spring 1988"
2074,t,f,t,"California Commercial Lobster Fishery, 1973-1974 Season"
2075,t,f,t,Compensation of Displaced Gill Netters Pursuant to Proposition 132
2076,t,f,t,"Conversions Between Total, Fork, and Standard Lengths for 41 Species of 15 Families of Fish from California Using Preserved and Fresh Specimens"
2077,t,f,t,"Crab Sport Fisheries in Humboldt Bay and Crescent City Harbor, California"
2078,t,f,t,"Densities and Size Compositions of Red Abalone, Haliotis rufescens, at Five Locations on the Mendocino and Sonoma County Coasts, September 1986"
2079,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Annual Report, July 1, 1973 - June 30, 1974"
2080,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Annual Report, July 1, 1974 - June 30, 1975; and Quarterly Report No. 8, April 1, 1975 - June 30, 1975"
2081,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Annual Report, July 1, 1976 - June 30, 1977"
2082,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Annual Report, Part I:  July 1, 1975 - June 30, 1976; and Quarterly Report No. 12, April 1, 1976 - June 30, 1976"
2083,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 11, January 1 - March 31, 1976"
2084,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 13, July 1 - September 30, 1976"
2085,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 14, Oct.1 - Dec. 31, 1976"
2086,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 15, January 1 - March 30, 1977"
2087,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 17, July 1 - September 30, 1977"
2088,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 18, October 1 - December 31, 1977"
2089,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 19, January 1 - March 31, 1978"
2090,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 1, July 1 - September 30, 1973"
2091,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 20, April 1 - June 30, 1978"
2092,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 21, July 1, 1978 - September 30, 1978"
2093,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 22, Oct. 1, 1978 - Dec. 31, 1978"
2094,t,f,t,"Diablo Canyon Power Plant Site Ecological Study, Quarterly Report No. 2, October 1 - December 31, 1973"
