off topic,in_atlas,groupname,title,keywords,topics,date,originator,publisher,links,Still Public?,Dataset Email,Group,Agency
x,t,Association of Monterey Bay Area Governments,AMBAG Region City Boundaries,,Cities Boundaries,4/8/2013,,US Census Bureau AMBAG,https://projects.atlas.ca.gov/frs/download.php/15369/AMBAG_Cities2010.zip ,TRUE,gis@ambag.org,Association of Monterey Bay Area Governments,
,t,Association of Monterey Bay Area Governments,Salinas Drainage System,,Inland Waters Watershed,4/9/2013,,AMBAG,https://projects.atlas.ca.gov/frs/download.php/15368/Salinas_Drainage.zip ,TRUE,gis@ambag.org,Association of Monterey Bay Area Governments,
,f,Association of Monterey Bay Area Governments,Henry Coe State Park Imagery,,Imagery-Base Maps-Land Cover Imagery Orthophoto,4/10/2013,,NAIP AMBAG,,TRUE,gis@ambag.org,Association of Monterey Bay Area Governments,
,t,Bioenergy Assessment,"Strategic Assessment of Bioenergy Development in the West, Spatial Analysis and Supply Curve Development",biomass bioenery,Utilities & Communication Biological sciences Energy Biota,1/1/2010,,The Western Bioenergy Assessment Team; The University of California,https://projects.atlas.ca.gov/frs/download.php/810/wga.gdb.zip http://projects.atlas.ca.gov/frs/download.php/810/wga.gdb.zip ,TRUE,,Bioenergy Assessment,
,t,Bioenergy Assessment,INL pfarm,gis database  biomass,Environment,12/6/2010,,"University of California, Davis Environmental Resources Evaluation System",https://projects.atlas.ca.gov/frs/download.php/921/inlpfarm_odcost.zip http://projects.atlas.ca.gov/frs/download.php/921/inlpfarm_odcost.zip https://projects.atlas.ca.gov/frs/download.php/917/pfarm.tgz ,TRUE,,Bioenergy Assessment,
,t,Bioenergy Assessment,usda,,,12/6/2010,,California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/940/gams_input.zip ,TRUE,,Bioenergy Assessment,
,f,Bolsa Chica Bibliography,"Bolsa Chica:  A Beach, An Ocean, A Future",oceans nat. res. management areas wetlands coastal resources wildlife management areas,Boundaries Wetland ecology Biota,1/1/2010,"Adams, T.  et al.",,http://www.amigosdebolsachica.org ,TRUE,carlberg@ix.netcom.com,Bolsa Chica Bibliography,
,f,Bolsa Chica Bibliography,Saving The Bolsa Chica Wetlands,oceans wetlands coastal resources nat. res. management areas wildlife management areas,Wetland ecology Boundaries Biota,1/1/2010,"Aldridge, J. A.",,http://www.amigosdebolsachica.org ,TRUE,carlberg@ix.netcom.com,Bolsa Chica Bibliography,
,f,Bolsa Chica Bibliography,An environmental evaluation of the Bolsa Chica area,,,2/4/2013,,Dillingham Environmental Company,,TRUE,carlberg@ix.netcom.com,Bolsa Chica Bibliography,
,f,Bolsa Chica Bibliography,Bolsa Chica:its  history from prehistoric times to the present,,,2/4/2013,,Amigos de Bolsa Chica,,TRUE,carlberg@ix.netcom.com,Bolsa Chica Bibliography,
x,t,Boundaries,California Political Districts,redistrict politics congress assembly senate,Society Administrative boundaries Demographics Political boundaries Voting districts Election results,1/1/2010,,Legislative Branch California Spatial Information Library California Natural Resources Agency,https://projects.atlas.ca.gov/frs/download.php/624/political_districts_2001.zip http://projects.atlas.ca.gov/frs/download.php/624/ http://projects.atlas.ca.gov/frs/download.php/624/political_districts_2001.zip ,TRUE,#N/A,#N/A,#N/A
x,t,Boundaries,ZipCode Tabulation Areas,usps post,Political boundaries Administrative boundaries Parcel boundaries Boundaries Zip codes Planning & Cadastre,1/1/2010,,California Spatial Information Library California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/612/zipcode_2007.01.zip http://projects.atlas.ca.gov/frs/download.php/614/zipcode_src_2007.01.tgz https://projects.atlas.ca.gov/frs/download.php/612/zipcode_2007.01.zip ,TRUE,#N/A,#N/A,#N/A
,t,Boundaries,California County Boundaries (2009),ca boundaries,Boundaries Planning & Cadastre Administrative boundaries Parcel boundaries Political boundaries,1/1/2010,,California Natural Resources Agency,https://projects.atlas.ca.gov/frs/download.php/935/cnty24k09_1.zip http://projects.atlas.ca.gov/frs/download.php/937/cnty24k09_1_shp.zip https://projects.atlas.ca.gov/frs/download.php/937/cnty24k09_1_shp.zip http://projects.atlas.ca.gov/frs/download.php/935/cnty24k09_1.zip ,TRUE,,Boundaries,California Natural Resources Agency
x,t,Butte CAG GIS Data Development Project,Butte County General Plan 2011,plans gis bcag general plan butte,Planning & Development Base map Base Maps Planning & Cadastre Imagery-Base Maps-Land Cover,4/13/2011,,Butte County Association of Governments,https://projects.atlas.ca.gov/frs/download.php/3245/BCAG_Combined_General_Plan.zip http://projects.atlas.ca.gov/frs/download.php/3245/BCAG_Combined_General_Plan.zip ,TRUE,blasagna@bcag.org,Butte CAG GIS Data Development Project,
,t,Butte CAG GIS Data Development Project,Butte County Association of Governments: Bike Paths,bike path bcag bike trails ,Trails Transportation Society Base map Recreation Base Maps Imagery-Base Maps-Land Cover,9/21/2012,,Butte County Association of Governments,http://projects.atlas.ca.gov/frs/download.php/10582/BCAG_Bike_Routes_2011.zip https://projects.atlas.ca.gov/frs/download.php/10582/BCAG_Bike_Routes_2011.zip ,TRUE,blasagna@bcag.org,Butte CAG GIS Data Development Project,
,t,Butte CAG GIS Data Development Project,Butte County Commercial Footprints,commercial bcag 017 footprint structure,Society Structures Planning & Development Building foot prints Buildings Planning & Cadastre Economy Imagery-Base Maps-Land Cover Commerce General Urban planning,5/23/2013,,Butte County Association of Governments,http://projects.atlas.ca.gov/frs/download.php/15719/BCAG_Commercial_Footprints_2012.zip https://projects.atlas.ca.gov/frs/download.php/15719/BCAG_Commercial_Footprints_2012.zip ,TRUE,blasagna@bcag.org,Butte CAG GIS Data Development Project,
,t,CA Base Map,California Base Map Cache,cache california,Base map Land cover Base Maps Imagery,1/1/2010,,Environmental Resources Evaluation System California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/655/BaseMapCache_L00-L06.zip http://projects.atlas.ca.gov/frs/download.php/658/BaseMapCache_L07.zip http://projects.atlas.ca.gov/frs/download.php/657/BaseMap_Cache.zip https://projects.atlas.ca.gov/frs/download.php/655/BaseMapCache_L00-L06.zip https://projects.atlas.ca.gov/frs/download.php/659/BaseMapCache_L08.zip https://projects.atlas.ca.gov/frs/download.php/658/BaseMapCache_L07.zip https://projects.atlas.ca.gov/frs/download.php/657/BaseMap_Cache.zip http://projects.atlas.ca.gov/frs/download.php/659/BaseMapCache_L08.zip ,TRUE,qjhart@ucdavis.edu,CA Base Map,
,t,CA Base Map,BaseMap,,Land cover Basemap Base Maps,12/6/2010,,California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/643/BaseMap.zip http://projects.atlas.ca.gov/frs/download.php/643/ https://projects.atlas.ca.gov/frs/download.php/643/BaseMap.zip ,TRUE,qjhart@ucdavis.edu,CA Base Map,
x,t,Ca Spatial Information Library,Teale Airboard Districts 1990,special districts airboard districts air resources board airboard airdistricts,Districts Boundaries,1/1/2010,,Teale GIS Solutions Group,https://projects.atlas.ca.gov/frs/download.php/282/adisa-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/282/adisa-1997_e00.zip https://projects.atlas.ca.gov/frs/download.php/283/adisa-1997_shp.zip http://projects.atlas.ca.gov/frs/download.php/283/adisa-1997_shp.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale: Airports,,Airports Transportation,1/1/2010,,Teale GIS Solutions Group,http://projects.atlas.ca.gov/frs/download.php/285/airporta-1997_e00.zip https://projects.atlas.ca.gov/frs/download.php/286/airporta-1997_shp.zip https://projects.atlas.ca.gov/frs/download.php/285/airporta-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/286/airporta-1997_shp.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale: Board of Equalization 1992,equalization  census board of equalization government,Boundaries Districts Economy Administrative boundaries,1/1/2010,,Teale GIS Solutions Group,http://projects.atlas.ca.gov/frs/download.php/291/boe90a-1997_e00.zip https://projects.atlas.ca.gov/frs/download.php/292/boe90a-1997_shp.zip https://projects.atlas.ca.gov/frs/download.php/291/boe90a-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/292/boe90a-1997_shp.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale: CA. Counties 1990,county boundaries california counties,Boundaries Counties,1/1/2010,,Teale GIS Solutions Group,https://projects.atlas.ca.gov/frs/download.php/337/co100a-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/337/co100a-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/338/co100a-1997_shp.zip https://projects.atlas.ca.gov/frs/download.php/338/co100a-1997_shp.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale Census Tract 1990,1990 census districts census,Recreation Boundaries Services Elevation Demographics Districts Society,1/1/2010,,Teale GIS Solutions Group,https://projects.atlas.ca.gov/frs/download.php/334/centrcta-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/334/centrcta-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/335/centrcta-1997_shp.zip https://projects.atlas.ca.gov/frs/download.php/335/centrcta-1997_shp.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale Congressional districts 1992,census government congressional,Administrative boundaries Boundaries Districts,1/1/2010,,Teale GIS Solutions Group,https://projects.atlas.ca.gov/frs/download.php/343/congr90a-1997_e00.zip https://projects.atlas.ca.gov/frs/download.php/344/congr90a-1997_shp.zip http://projects.atlas.ca.gov/frs/download.php/344/congr90a-1997_shp.zip http://projects.atlas.ca.gov/frs/download.php/343/congr90a-1997_e00.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale Department of Transportation (Caltrans) Districts,caltrans infrastructure california department of transportation,Boundaries Transportation Districts,1/1/2010,,Teale GIS Solutions Group,https://projects.atlas.ca.gov/frs/download.php/346/ctdista-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/346/ctdista-1997_e00.zip https://projects.atlas.ca.gov/frs/download.php/347/ctdista-1997_shp.zip http://projects.atlas.ca.gov/frs/download.php/347/ctdista-1997_shp.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale Geographic Names,city boundaries,Imagery-Base Maps-Land Cover Base Maps Place names Boundaries,1/1/2010,,Teale GIS Soltuions Group,https://projects.atlas.ca.gov/frs/download.php/376/geonamea-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/377/geonamea-1997_shp.zip http://projects.atlas.ca.gov/frs/download.php/376/geonamea-1997_e00.zip https://projects.atlas.ca.gov/frs/download.php/377/geonamea-1997_shp.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale Health Facilities 1994, health facilities health service areas,Structures Recreation Services Health Demographics Buildings Boundaries,1/1/2010,,Teale GIS Solutions Group,http://projects.atlas.ca.gov/frs/download.php/391/hlthfaca-1994_e00.zip http://projects.atlas.ca.gov/frs/download.php/392/hlthfaca-1994_shp.zip https://projects.atlas.ca.gov/frs/download.php/392/hlthfaca-1994_shp.zip https://projects.atlas.ca.gov/frs/download.php/391/hlthfaca-1994_e00.zip ,TRUE,,#N/A,#N/A
x,t,Ca Spatial Information Library,Teale Major Roads,major roads teale interstate,Transportation Roads Routes Highway,1/1/2010,,Teale GIS Solutions Group,https://projects.atlas.ca.gov/frs/download.php/398/majrdsa-1997_shp.zip https://projects.atlas.ca.gov/frs/download.php/397/majrdsa-1997_e00.zip http://projects.atlas.ca.gov/frs/download.php/398/majrdsa-1997_shp.zip http://projects.atlas.ca.gov/frs/download.php/397/majrdsa-1997_e00.zip ,TRUE,,#N/A,#N/A
